"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"A to Z Building Blocks","AZ","A to Z Building Blocks American Fork on 100 East","901","Private","","","","Pre - 6","195 North 100 East","AMERICAN FORK","84003","geo:40.38,-111.796","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","Jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks American Fork on 300 East","902","Private","","","","Pre - 6","153 North 300 East","AMERICAN FORK","84003","geo:40.38,-111.791","atozbuildingblocks.com","","801-754-6704","","","2021","","Coordinator","","Jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks Draper","903","Private","","","","Pre - 6","978 E Draper Parkway","DRAPER","84020","geo:40.526,-111.864","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","Jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks on Ranches Parkway","904","Private","","","","Pre - 6","3563 Ranches Parkway","EAGLE MOUNTAIN","84005","geo:40.361,-111.975","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks Orem","905","Private","","","","Pre - 6","670 W 400 N","OREM","84057","geo:40.305,-111.712","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","Jody@atozbuildingblocks.com"
"Advantage Arts Academy","1M","Advantage Arts Academy","100","Public","Charter","Title I","Title I","K - 6","6171 W. 11800 S","HERRIMAN","84096","geo:40.53691,-112.03865","","https://datagateway.schools.utah.gov/Schools/1M100","801-878-8622","","State Charter School Board (SCSB)","2020","","Director","Kelly Simonsen","ksimonsen@advantagearts.org"
"Alpine District","01","Alpine Online School","299","Public","","","","K - 8","575 N 100 E","AMERICAN FORK","84003","geo:40.388315,-111.796538","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01299","801-756-8400","801-763-6186","","2006","2027","Principal","Gina Witt","gwitt@alpinedistrict.org"
"Alpine District","01","Alpine School","104","Public","","","","Pre - 6","400 E 300 N","ALPINE","84004","geo:40.456685,-111.770533","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01104","801-610-8700","801-756-8527","","1965","2027","Principal","Paul Finlayson","pfinlayson@alpinedistrict.org"
"Alpine District","01","Aspen School","105","Public","","","","Pre - 6","945 W 2000 N","OREM","84057","geo:40.333162,-111.719552","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01105","801-610-8100","801-227-8786","","1980","2027","Principal","Julie Van Dijk","jvandijk@alpinedistrict.org"
"Alpine District","01","Barratt School","106","Public","","","","Pre - 6","168 N 900 E","AMERICAN FORK","84003","geo:40.380442,-111.772094","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01106","801-610-8701","801-756-8530","","1977","2027","Principal","Caroline Knadler","cknadler@alpinedistrict.org"
"Alpine District","01","Belmont School","114","Public","","","","Pre - 6","4051 North Maple Hollow Blvd","LEHI","84043","geo:40.441109,-111.818745","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01114","801-610-8734","","","2018","2027","Principal","Misty Rocha","mistyrocha@alpinedistrict.org"
"Alpine District","01","Black Ridge School","115","Public","","","","Pre - 6","9358 N. Sunset Drive","EAGLE MOUNTAIN","84005","geo:40.3820513,-111.9927305","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01115","801-610-8729","801-789-5370","","2014","2027","Principal","Charles Stewart","ckstewart@alpinedistrict.org"
"Alpine District","01","Bonneville School","107","Public","","Title I","Title I","Pre - 6","1245 N 800 W","OREM","84057","geo:40.320167,-111.715885","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01107","801-610-8101","801-227-8705","","1977","2027","Principal","Matthew Dias","mdias@alpinedistrict.org"
"Alpine District","01","Brookhaven School","203","Public","","","","Pre - 6","7082 North Seedling Drive","EAGLE MOUNTAIN","84005","geo:40.290507,-112.043852","alpineschools.org","https://datagateway.schools.utah.gov/Schools/01203","801-610-8733","801-610-6909","","2018","","Principal","Michael Ericksen","mericksen@alpinedistrict.org"
