School,City,Adequately immunized %,Exempt %,District/LEA,Address,Zip,Map,school_type
river rock school,lehi,89.7,10.3,Alpine District,520 North 1700 West,84043,"geo:40.3937097,-111.8764976",Private
springside school,saratoga springs,82.9,13.7,Alpine District,694 South Highpoint Drive,84045,"geo:40.3494704,-111.9152738",Private
american preparatory academy accelerated school,west valley city,94.2,3.5,,,,,Public
american preparatory academy,draper,92.0,7.0,American Preparatory Academy,12892 S PONY EXPRESS RD,84020,"geo:40.517489,-111.891825",Public Charter
american preparatory academy salem,salem,74.6,25.4,,,,,Public
ascent academies of utah lehi,lehi,87.0,13.0,Ascent Academies of Utah,2199 W 900 N,84043,"geo:40.3986691,-111.8870765",Public Charter
athlos academy of utah,herriman,91.8,4.9,,,,,Public
birch creek school,smithfield,93.0,5.3,Cache District,675 W 220 N,84335,"geo:41.842084,-111.852014",Private
canyon creek school,farmington,89.3,9.3,Davis District,755 S 1100 W,84025,"geo:40.9684995,-111.9122963",Private
eagle bay school,farmington,83.3,14.6,Davis District,1933 W Clark Ln,84025,"geo:40.981619,-111.92904",Private
endeavour school,kaysville,92.3,7.7,Davis District,1870 S 25 W,84037,"geo:41.0032309,-111.938957",Private
kay's creek school,kaysville,94.8,2.6,Davis District,2260 W Island Dr.,84037,"geo:41.0338547,-111.9886677",Private
centennial school,roosevelt,82.4,5.9,Duchesne District,940 S 500 E,84066,"geo:40.2860245,-109.9838506",Private
elizabeth academy-primary school,salt lake city,62.5,0.0,,,,,Public
entheos academy,kearns,95.9,1.4,,,,,Public
entheos academy magna,magna,80.3,15.2,,,,,Public
franklin discovery academy,vineyard,77.4,22.6,Franklin Discovery Academy,320 E. Gammon Road,84059,"geo:40.2969457,-111.7499018",Public Charter
freedom preparatory academy,provo,96.4,3.6,,,,,Public
freedom preparatory academy vineyard,vineyard,84.0,14.0,,,,,Public
helen m knight school,moab,84.2,3.9,,,,,Public
gearld wright school,salt lake city,82.5,7.0,,,,,Public
greenwood charter school,ogden,91.1,8.9,Greenwood Charter School,840 North Highway 89,84404,"geo:41.249691,-111.969904",Public Charter
hawthorn academy south jordan,south jordan,93.1,5.9,Hawthorn Academy,1437 W 11400 S,84095,"geo:40.5439047,-111.9349063",Public Charter
hawthorn academy,west jordan,96.7,3.3,,,,,Public
delta south school,delta,89.8,7.4,Millard District,450 S CENTER,84624,"geo:39.344383,-112.575747",Private
maple ridge school,mapleton,84.9,13.8,Nebo District,2340 West Harvest Parkway,84664,"geo:40.1227027,-111.6013484",Private
meadow brook school,springville,84.9,11.3,Nebo District,748 S. 950 W.,84663,"geo:40.1566357,-111.6324984",Private
east ridge elementary school,ogden,91.0,7.9,Ogden City District,1330 9th Street,84404,"geo:41.248994,-111.945146",Private
new bridge school,ogden,90.0,4.0,Ogden City District,2150 Jefferson Ave.,84401,"geo:41.2277622,-111.9669151",Private
polk school,ogden,76.4,12.5,Ogden City District,2615 POLK AVE,84401,"geo:41.217211,-111.94317",Private
liberty elementary,ogden,89.2,1.4,,,,,Public
rowland hall elemenatary,salt lake city,93.2,3.4,,,,,Public
scholar academy,tooele,94.7,5.3,Scholar Academy,928 N 100 E,84074,"geo:40.54846,-112.2953",Public Charter
spectrum academy,north salt lake,92.7,7.3,,,,,Public
spectrum academy pleasant grove,pleasant grove,96.6,3.4,,,,,Public
summit academy bluffdale,bluffdale,82.5,17.5,,,,,Public
summit academy draper campus,draper,81.4,18.6,,,,,Public
summit academy independence,bluffdale,70.6,3.5,,,,,Public
syracuse arts academy antelope k-6,syracuse,93.7,3.2,,,,,Public
syracuse arts academy north,syracuse,94.7,5.3,,,,,Public
terra academy,vernal,81.4,18.6,,,,,Public
sterling school,tooele,96.9,0.0,Tooele District,251 N. 1st St.,84074,"geo:40.5357494,-112.2939659",Private
wallace stegner academy,salt lake city,96.3,1.2,Wallace Stegner Academy,980 S Bending River Rd,84104,"geo:40.7466253,-111.9461805",Public Charter
wasatch waldorf charter school,holladay,67.1,31.5,Wasatch Waldorf Charter School,1458 East Murray-Holladay Road,84117,"geo:40.666446,-111.852083",Public Charter
burch creek school,ogden,91.7,8.3,Weber District,4300 Madison Ave.,84405,"geo:41.183104,-111.961569",Private
eastwood school,salt lake city,100.0,0.0,Granite District,3305 WASATCH BLVD,84109,"geo:40.699538,-111.793567",Private
robert frost school,west valley city,94.4,0.0,Granite District,3444 W 4400 S,84119,"geo:40.675648,-111.974027",Private
granger school,west valley city,83.1,2.2,Granite District,3702 S 1950 W,84119,"geo:40.689864,-111.953848",Private
hillside school,west valley city,93.2,0.0,Granite District,4283 S 6000 W,84128,"geo:40.678442,-112.033275",Private
