Facility name,City,Adequately immunized %,Exempt %,Conditionally enrolled %,Extended conditionally enrolled %,Out of compliance %
,,,,,,
River Rock School,Lehi,89.7,10.3,0.0,0.0,0.0
Springside School,Saratoga Springs,82.9,13.7,0.9,0.9,1.7
American Preparatory Academy Accelerated School,West Valley City,94.2,3.5,0.0,2.3,0.0
American Preparatory Academy,Draper,92.0,7.0,1.0,0.0,0.0
American Preparatory Academy Salem,Salem,74.6,25.4,0.0,0.0,0.0
Ascent Academies Of Utah Lehi,Lehi,87.0,13.0,0.0,0.0,0.0
Athlos Academy Of Utah,Herriman,91.8,4.9,1.6,1.6,0.0
Birch Creek School,Smithfield,93.0,5.3,0.9,0.0,0.9
Canyon Creek School,Farmington,89.3,9.3,0.0,0.0,1.3
Eagle Bay School,Farmington,83.3,14.6,0.0,2.1,0.0
,,,,,,
Endeavour School,Kaysville,92.3,7.7,0.0,0.0,0.0
Kay's Creek School,Kaysville,94.8,2.6,0.0,1.3,1.3
Centennial School,Roosevelt,82.4,5.9,5.9,0.0,5.9
Elizabeth Academy-Primary School,Salt Lake City,62.5,0.0,0.0,0.0,37.5
Entheos Academy,Kearns,95.9,1.4,0.0,2.7,0.0
Entheos Academy Magna,Magna,80.3,15.2,0.0,4.5,0.0
Franklin Discovery Academy,Vineyard,77.4,22.6,0.0,0.0,0.0
Freedom Preparatory Academy,Provo,96.4,3.6,0.0,0.0,0.0
Freedom Preparatory Academy Vineyard,Vineyard,84.0,14.0,0.0,2.0,0.0
Helen M Knight School,Moab,84.2,3.9,1.3,7.9,2.6
,,,,,,
Gearld Wright School,Salt Lake City,82.5,7.0,0.0,10.5,0.0
Greenwood Charter School,Ogden,91.1,8.9,0.0,0.0,0.0
Hawthorn Academy South Jordan,South Jordan,93.1,5.9,0.0,0.0,1.0
Hawthorn Academy,West Jordan,96.7,3.3,0.0,0.0,0.0
Delta South School,Delta,89.8,7.4,0.0,2.8,0.0
Maple Ridge School,Mapleton,84.9,13.8,0.0,0.6,0.6
Meadow Brook School,Springville,84.9,11.3,1.9,0.9,0.9
East Ridge Elementary School,Ogden,91.0,7.9,0.0,1.1,0.0
New Bridge School,Ogden,90.0,4.0,0.0,5.0,1.0
Polk School,Ogden,76.4,12.5,0.0,2.8,8.3
,,,,,,
Liberty Elementary,Ogden,89.2,1.4,0.0,8.1,1.4
Rowland Hall Elemenatary,Salt Lake City,93.2,3.4,0.0,3.4,0.0
Scholar Academy,Tooele,94.7,5.3,0.0,0.0,0.0
Spectrum Academy,North Salt Lake,92.7,7.3,0.0,0.0,0.0
Spectrum Academy Pleasant Grove,Pleasant Grove,96.6,3.4,0.0,0.0,0.0
Summit Academy Bluffdale,Bluffdale,82.5,17.5,0.0,0.0,0.0
Summit Academy Draper Campus,Draper,81.4,18.6,0.0,0.0,0.0
Summit Academy Independence,Bluffdale,70.6,3.5,0.0,25.9,0.0
Syracuse Arts Academy Antelope K-6,Syracuse,93.7,3.2,1.6,1.6,0.0
Syracuse Arts Academy North,Syracuse,94.7,5.3,0.0,0.0,0.0
,,,,,,
Terra Academy,Vernal,81.4,18.6,0.0,0.0,0.0
Sterling School,Tooele,96.9,0.0,0.0,3.1,0.0
Wallace Stegner Academy,Salt Lake City,96.3,1.2,0.0,2.5,0.0
Wasatch Waldorf Charter School,Holladay,67.1,31.5,0.0,1.4,0.0
Burch Creek School,Ogden,91.7,8.3,0.0,0.0,0.0
Eastwood School,Salt Lake City,100.0,0.0,0.0,0.0,0.0
Robert Frost School,West Valley City,94.4,0.0,0.0,5.6,0.0
Granger School,West Valley City,83.1,2.2,3.4,11.2,0.0
Hillside School,West Valley City,93.2,0.0,6.8,0.0,0.0
Hillsdale School,West Valley City,98.6,0.0,0.0,1.4,0.0
,,,,,,
Castle Dale School,Castle Dale,78.9,21.1,0.0,0.0,0.0
Cleveland School,Cleveland,83.3,16.7,0.0,0.0,0.0
Ferron School,Ferron,90.9,4.5,0.0,4.5,0.0
